,topic,model_name,summ_sent,sent_label,exp,type,category
66,Airlines' commitment to service improvements,model_C,"The report will likely show improvement but a long way to go, with airlines promising to do better in several areas including honesty about delays and overselling flights, informing passengers about baggage issues, and improving communication with passengers.",no,"While the document mentions promises from the airlines, the ones listed here seem to be misrepresentations of the issues listed. This issue with passenger luggage is a general grievance and not specific to communicating baggage issues. Improving communication and honestly about delays are framed in the document as complaints from customers rather than promises from the airlines.",Nuanced Meaning Shift,main
72,Airlines' commitment to service improvements,model_D,"However, passengers are not being told the truth about delays and there are complaints of poor service.",no,The un-truth about delays is framed in the document as a perception of passengers' communication from airlines rather than the airlines' lying to them.,Nuanced Meaning Shift,main
75,Airlines' commitment to service improvements,Model-Extra,"Complaints remain on inaccurate fare quotes, overbooking, delayed luggage return and lack of communication during delays.",no,"Re: fare quotes, the complaint is about price transparency rather than price accuracy.",Nuanced Meaning Shift,main
76,Airlines' commitment to service improvements,Model-Extra,Government intervention may be needed as airlines have forfeited the right to self-regulate.,no,"It is the opinion of Trippler, and not a fact, that the airlines have 'forfeited' the right to self-regulate.",Stating Opinion as Fact,main
77,Airlines' commitment to service improvements,Model-Extra,Weather and labor issues do not excuse poor service.,no,This is an opinion and not a fact.,Stating Opinion as Fact,main
79,Airlines' commitment to service improvements,model_E,"Airlines promised to provide cheaper fares, inform passengers of oversold flights and lost luggage, and reduce flight delays, but improvements have been limited.",no,"1. the issue discussed re: cheaper fares is price transparency, not providing cheaper fares.
2. It is not about informing passengers about lost luggage, but about providing timely lost luggage delivery.
3. It is not about reducing flight delays, but about informing passengers about flight delays.",Nuanced Meaning Shift,main
85,Factors affecting airlines' control over service quality,Model-Extra,"However, they have control over delays, overbooking flights, lost luggage, and providing inaccurate fare quotes and delay information.",no,"1. Re: fare quotes, the complaint is about price transparency rather than price accuracy.
2. This sentence is misleading - airlines may not have control over delays, but they can control informing passengers about it.",Nuanced Meaning Shift,main
88,Factors affecting airlines' control over service quality,model_B,"These factors are beyond the control of airlines, and they must adapt to meet the demands of their customers.",no,"Experts believe that only weather is beyond the control of airlines, not labor issues.",Contradiction,main
93,Factors affecting airlines' control over service quality,model_D,"Some airlines argue that factors like weather and labor problems are beyond their control, but experts disagree.",no,Experts don't disagree that e.g. weather is beyond the airlines' control.,Contradiction,main
96,Factors affecting airlines' control over service quality,model_E,"The report may lead to passenger-rights legislation, as the airlines have forfeited their right to operate without government intervention.",no,"It is the opinion of Trippler, and not a fact, that airlines have 'forfeited' their right to self-regulate their service quality.",Stating Opinion as Fact,main
99,Passengers' rights and legislation,model_B,"Some airlines argue that factors such as weather and labor disputes are outside their control, while others advocate for government intervention to ensure passenger rights.",no,There is no information in the document about any airlines that advocate for government intervention. It is from Trippler's opinion.,Mis-Referencing,main
104,Passengers' rights and legislation,model_D,"The airlines have promised to upgrade service, but a government report shows improvement but a long way to go.",no,"The tense ""shows"" is incorrect because the report about ""improvement, but a long way to go"" came out last year, and the recent report has not been issued yet.",Tense/Modality Error,main
106,Passengers' rights and legislation,model_D,Some are calling for passenger-rights legislation.,no,"The tense ""are calling"" is incorrect, the source document discusses people calling for filing a bill for passenger-rights legislation as a hypothetical situation after the report is issued.",Tense/Modality Error,main
107,Passengers' rights and legislation,Model-Extra,The government report will show airlines haven't fully delivered on service promises.,no,It is not stated in the document whether the report will actually show that airlines haven't fully delivered on service promises. It is the travel expert's opinion.,Stating Opinion as Fact,main
108,Passengers' rights and legislation,Model-Extra,"Passengers complain of inaccurate fare quotes, lack of info on delays/oversold flights, mishandled baggage.",no,It is not about inaccurate fare quote but not getting the cheapest quote.,Nuanced Meaning Shift,main
109,Passengers' rights and legislation,Model-Extra,Congress may pass legislation to mandate passenger rights as airlines have forfeited self-regulation.,no,"""airlines have forfeited self-regulation"" is presented as postulation in the text - the summary makes it seems like a fact.",Stating Opinion as Fact,main
113,Diplomatic Relations Resumption,model_A,"On July 20, 2015, the United States and Cuba resumed diplomatic relations after 54 years of hostilities.",no,The document does not mention the date when the countries resumed diplomatic relations.,Extrinsic Information,main
122,Diplomatic Relations Resumption,Model-Extra,"The U.S. and Cuba resumed diplomatic ties after 54 years, raising flags at embassies.",no,The only flag raised was at the American embassy in Cuba. No flag was reported to have been raised at a Cuban embassy in D.C.,Extrinsic Information,main
126,Diplomatic Relations Resumption,model_D,"The United States and Cuba have resumed diplomatic relations, with the raising of the American flag at the Cuban embassy in Washington, D.C.",no,"The flag was raised at the American embassy in Havana, not at the Cuban embassy in DC. The Cuban embassy in Washington, D.C. is not mentioned in the document.",Extrinsic Information,main
128,Diplomatic Relations Resumption,model_E,"The resumption of diplomatic relations between the US and Cuba is seen as a significant moment, with the opening of embassies in Havana and Washington D.C.",no,"The document did not discuss a Cuban embassy opening in Washington, D.C. The Cuban embassy in Washington, D.C. is not mentioned in the document.",Extrinsic Information,main
131,Flag Raising Ceremony,model_A,"On August 14th, 2015, the U.S. flag was raised above the American embassy in Havana for the first time in 54 years, marking the resumption of diplomatic relations between the U.S. and Cuba.",no,The source document does not provide information about when the flag was raised above the American embassy in Havana.,Extrinsic Information,main
132,Flag Raising Ceremony,model_A,"The ceremony was full of symbolism, including the involvement of U.S. Marines who helped take down the flag in 1960, and the cane used by Secretary of State John Kerry, which had significance.",no,"The source document says that the U.S. Marines were involved in taking the flag down ""54 years ago"", but the document doesn't mention the exact year.",Extrinsic Information,main
141,Flag Raising Ceremony,model_D,"While there is still unfinished business, such as the embargo that has yet to be lifted, small steps are being taken towards a friendship between the two countries.",no,"The document doesn't say that small steps towards improving the relationship between the two countries are actually being taken, it is Schlesinger's opinion that ""there are going to be a series of small steps.""",Stating Opinion as Fact,main
145,Flag Raising Ceremony,Model-Extra,Small steps on issues like drugs or environment are next.,no,"The document does not say that next steps will actually include dealing with drugs or environmental issues, but it present an opinion that these issues can be dealt with.",Stating Opinion as Fact,main
147,Flag Raising Ceremony,Model-Extra,"Though the Castros weren't there, tensions are low.",no,The document does not discuss any correlation between the absence of the Catros at the ceremony and the intensity of tensions.,Reasoning Error,main
156,U.S.-Cuban Relations,model_C,"The event was full of symbolism, including the U.S. Marines involved in the Cuban Missile Crisis taking down the flag and Secretary of State Kerry walking with a cane used by President Franklin Roosevelt.",no,The document doesn't specify that the Marines who took down the flag were involved in the Cuban Missile Crisis and the document never states that the the cane Kerry walks with was used by Franklin Roosevelt.,Extrinsic Information,main
162,U.S.-Cuban Relations,Model-Extra,"Though human rights and property issues remain, lowered tensions and Fidel Castro's declining health could improve relations.",no,"Fidel Castro's declining health as a potential reason that relations could improve misrepresents what the document states. Castro's declining health is cited to highlight that the ""old guard,"" so to speak, is on the way out making it possible for his brother to conduct friendlier relations with the US",Reasoning Error,main
166,U.S.-Cuban Relations,model_E,The U.S. flag has been raised at the American embassy in Havana for the first time since 1961.,no,The source document does not give a reference year to corroborate the summary's time frame,Extrinsic Information,main
204,Problems with diaper changes for disabled adults,model_A,The founder of Universal Changing Places advocates for private family restrooms with adult changing tables to be installed in public venues.,no,"The founder is not advocating for private family restrooms with this technology, but that more restrooms in general have this technology.",Mis-Referencing,main
206,Problems with diaper changes for disabled adults,model_B,This can lead to public embarrassment and a feeling of isolation for the disabled person.,no,"Isolation is not mentioned in the same context as embarrassment, therefore altering the meaning and intent of the document.",Mis-Referencing,main
208,Problems with diaper changes for disabled adults,model_C,Kimball advocates for the installation of adult changing tables in public restrooms to provide a safe and clean space for diaper changes.,no,"Kimball's group is advocating not just for ""adult changing table"" but for powered height-adjustable ones.",Nuanced Meaning Shift,main
216,Access and influence of donors,model_A,"In a new batch of e-mails from Hillary Clinton's time as Secretary of State, a long-time aide to former President Clinton attempted to secure a job for an unnamed individual at the State Department.",no,"This sentence is ambiguous for where the unnamed individual actually works. In one reading, it could be that the unnamed individual actually works at the State Department and the former aide to President Clinton was trying to get this individual a job elsewhere. In another reading, the aide is trying to get this person a job at the State Department itself. Therefore, this sentence is ambiguous regarding its portrayal of the contents of the document.",Nuanced Meaning Shift,main
220,Access and influence of donors,model_B,"Clinton aides fielded requests for jobs and assistance from a long-time aide to President Clinton, who lobbied on behalf of a Lebanese-Nigerian billionaire.",no,The document only says the long-time aid tried to connect the billionaire with an given individual in the State Department; it doesn't specify for what reason as the summary does here.,Extrinsic Information,main
225,Access and influence of donors,model_D,The Clinton Foundation and Huma Abedin's involvement with a Lebanese Nigerian billionaire seeking State Department assistance are the focus of a new batch of emails released by Judicial Watch.,no,"The relationship between the billionaire and the Clinton Foundation, Huma Abedin is inaccurate. Based on the information in the document, the billionaire donated to the Foundation but there's no indication of further involvement between him and the Foundation. Abedin was also not involved with the billionaire- the person that President Clinton's aide was trying to connect him with someone at the State Department.",Reasoning Error,main
226,Access and influence of donors,model_D,The emails raise questions about the access and influence of donors to the Clinton family's charitable foundation.,no,"The document specifies that the access and influence concerns are regarding the State Department. This sentence is overgeneral and does not portray the contents of the document accurately. Also, this sentence makes it sound like the donors wanted access and influence to the Foundation, and not access and influence to the State Department, which is what the document was talking about.",Mis-Referencing,main
230,Clinton Foundation and State Department,model_A,A new batch of Clinton Foundation e-mails has raised questions about the influence donors had on the State Department during Hillary Clinton's tenure as secretary of state.,no,"The document does not specify the origin of the emails, whether or not they are from the State Department or the Clinton Foundation. However, context implies that they were from the State Department, though this is not explicitly stated. So this portrayal of the contents in the document is inaccurate.",Reasoning Error,main
233,Clinton Foundation and State Department,model_B,A new batch of e-mails released by Judicial Watch reveals that Clinton Foundation donors were closely connected to the State Department during Hillary Clinton's tenure as Secretary of State.,no,The new emails only raise fresh questions about the influence and access donors to the Clinton family's charitable foundation had on the State Department. They do not reveal anything.,Nuanced Meaning Shift,main
236,Clinton Foundation and State Department,model_C,Newly disclosed e-mails reveal a close relationship between the Clinton Foundation donors and the State Department.,no,The new emails only raise fresh questions about the influence and access donors to the Clinton family's charitable foundation had on the State Department.,Nuanced Meaning Shift,main
241,Clinton Foundation and State Department,Model-Extra,Clinton denies impropriety but controversy fuels pay-for-play claims.,no,Clinton's campaign is the one that denied any impropriety.,Mis-Referencing,main
245,Clinton Foundation and State Department,model_D,The emails show that a top aide to Bill Clinton lobbied for a job at the State Department for someone who is redacted.,no,"Per source document, ""The name of the person Band is trying to help is redacted."" ""For someone who is redacted"" misuses the word 'redacted' and is a misrepresentation of the status of the person with regard to how they are portrayed in the document.",Nuanced Meaning Shift,main
247,Clinton Foundation and State Department,model_E,"The Clinton Foundation and State Department were closely connected, with friends and donors of the foundation having access to the State Department.",no,These are raised questions but not facts. The Clinton campaign is denying that there was any impropriety between the secretary of state and any of these friends and donors.,Nuanced Meaning Shift,main
250,Pay-for-play scheme,model_A,"Newly disclosed emails reveal a possible pay-for-play scheme between the Clinton Foundation and the State Department, where donors received access and favors.",no,"The first part of the sentence is correct, but the source document does not state that the donors indeed ""received access and favors"", the emails only raise questions about it.",Nuanced Meaning Shift,main
254,Pay-for-play scheme,Model-Extra,Newly released e-mails show Clinton Foundation donors seeking favors from Hillary Clinton's State Dept.,no,"The document doesn't state that the emails explicitly show that donors were seeking favors, it is said that the emails are ""raising questions"" about it.",Nuanced Meaning Shift,main
258,Pay-for-play scheme,model_C,"The document discusses a potential ""pay-for-play scheme"" involving the Clinton Foundation and the State Department, with a donor seeking favors from the department in exchange for donations.",no,"The first part of the sentence is correct, but the person (Dough Band) who is asking for favors is not said to be a donor himself.",Nuanced Meaning Shift,main
261,Pay-for-play scheme,model_E,"The latest release of Hillary Clinton's e-mails has revealed a new batch of messages that show a close connection between Clinton Foundation donors and the State Department, including lobbying by a long-time aide of the Clintons for a job at the State Department for a person who was important to the Clintons.",no,"1. The document speculates about how close the relationship between the donors and the Secretary of State are, but it doesn't say that the emails in fact show ""a close connection"" between them.
2. Doug Band is said to be a long-time aide to President Clinton, not ""the Clintons.""","Nuanced Meaning Shift, Mis-Referencing",main
264,Ban on Styrofoam in stores,model_A,What is the proposed ban on Styrofoam in stores?,no,The sentence is a question.,Extrinsic Information,marginal
268,Ban on Styrofoam in stores,Model-Extra,"Though technically polystyrene, the ban aims to curb its environmental impact.",no,The purpose to curb environmental impact isn't mentioned in the document nor can it be inferred from the information available.,Extrinsic Information,marginal
270,Ban on Styrofoam in stores,model_B,New York City Mayor Michael Bloomberg is planning to ban the use of Styrofoam in stores and restaurants due to environmental concerns.,no,The mention of the environment is a newly-introduced reasoning that isn't present in the document.,"Extrinsic Information, Reasoning Error",marginal
271,Ban on Styrofoam in stores,model_B,"This ban would affect packaging materials made from polystyrene, a type of plastic foam.",no,There is no explicit mention of polystyrene.,Extrinsic Information,marginal
272,Ban on Styrofoam in stores,model_B,"The proposal is part of Bloomberg's final State of the City speech and would take effect over time, with full implementation expected by 2020.",no,"There is no mention of the following part: ""would take effect over time, with full implementation expected by 2020.""",Extrinsic Information,marginal
275,Ban on Styrofoam in stores,model_C,The move aims to reduce waste and protect the environment.,no,The mentions of waste and the environment is newly-introduced reasoning that isn't present in the document.,Extrinsic Information,marginal
276,Ban on Styrofoam in stores,model_C,"The ban would only apply to food packaging, not other Styrofoam products.",no,"The document mentions that the ban would apply to food packaging, but it does not says it is the only product to be banned.",Nuanced Meaning Shift,marginal
278,Ban on Styrofoam in stores,model_D,This is his latest effort to improve public health and the environment.,no,A conclusion can be made that the details listed are to improve public health but there's nothing to suggest it's also to improve the environment.,Extrinsic Information,marginal
280,Ban on Styrofoam in stores,model_E,"New York City Mayor Michael Bloomberg plans to ban plastic foam food packaging in stores and restaurants, according to his State of the City speech.",no,"Though the plan to ban plastic foams was already announced, the phrase ""according to his State of the City speech"" implies that the speech has already happened, while the document mentions the speech in a future capacity.",Tense/Modality Error,marginal
281,Ban on Styrofoam in stores,model_E,The ban is aimed at reducing waste and promoting environmental sustainability.,no,The mention of waste and the environment is newly-introduced reasoning that isn't present in the document.,Extrinsic Information,marginal
282,Oscar Pistorius arrested,model_A,Olympic and Paralympic track star Oscar Pistorius has been arrested in South Africa after his girlfriend was shot and killed inside his home.,no,"The text does not confirm that Pistorius was arrested, but that a ""a 26-year-old man has been arrested"" and that ""Pistorius is 26 years old.""",Reasoning Error,marginal
283,Oscar Pistorius arrested,model_A,"Pistorius, who is a double amputee, is currently at the police station.",no,"The text does not confirm that Pistorius was arrested, but that a ""a 26-year-old man has been arrested"" and that ""Pistorius is 26 years old.""",Reasoning Error,marginal
284,Oscar Pistorius arrested,model_B,Olympic and Paralympic track superstar Oscar Pistorius has been arrested in South Africa after his model girlfriend was shot and killed inside his home.,no,"The text mentions that Pistorius may have been arrested but that has not been confirmed by police. Even though that is mentioned in Sentence 2, saying that he was arrested may be misleading.",Reasoning Error,marginal
286,Oscar Pistorius arrested,Model-Extra,Olympic sprinter Oscar Pistorius was arrested after his girlfriend was shot dead in his home.,no,"The text does not confirm that Pistorius was arrested, but that a ""a 26-year-old man has been arrested"" and that ""Pistorius is 26 years old.""",Reasoning Error,marginal
289,Oscar Pistorius arrested,model_C,"Oscar Pistorius, a South African runner, was arrested after his girlfriend was shot and killed inside his home.",no,"The text mentions that the police have not confirmed that the 26-year-old man who has been arrested is Pistorius, noting that he is also 26-years-old.",Reasoning Error,marginal
292,Oscar Pistorius arrested,model_D,"Oscar Pistorius, an Olympic and Paralympic track superstar, was arrested after his model girlfriend was shot and killed inside his home.",no,"The text mentions that Pistorius may have been arrested but that has not been confirmed by police. Even though that is mentioned in Sentence 2, saying that he was arrested may be misleading.",Reasoning Error,marginal
294,Oscar Pistorius arrested,model_E,"Oscar Pistorius, the South African Paralympic track star, has been arrested in connection with the shooting death of his girlfriend at his home.",no,"The text mentions that Pistorius may have been arrested but that has not been confirmed by police. Even though that is mentioned in Sentence 2, saying that he was arrested may be misleading.",Reasoning Error,marginal
297,U.S. Airways and American Airlines merger,model_A,"U.S. Airways and American Airlines have agreed to a merger, creating a more efficient and profitable airline.",no,"""creating a more efficient and profitable airline"" is the goal of the merger, and the sentence presents it as the result of the merger. It is unknown from the document whether this goal has been achieved.",Tense/Modality Error,main
301,U.S. Airways and American Airlines merger,model_B,"U.S. Airways and American Airlines have agreed to a merger, creating the world's largest airline.",no,"The source document states that the merger between these two airlines is ""a massive deal in the airline industry"", but it doesn't say that it creates the largest airline in the world.",Reasoning Error,main
302,U.S. Airways and American Airlines merger,model_B,"The deal includes a massive shake-up of flights and hubs, and could lead to higher ticket prices.",no,"The document doesn't say what the deal between the two airlines includes, all the changes are presented as the speakers' and the experts' opinions. The experts also believe that the ticket prices ""won't probably go up.""","Stating Opinion as Fact, Contradiction",main
304,U.S. Airways and American Airlines merger,model_C,"U.S. Airways and American Airlines have agreed to merge, creating a more efficient and profitable airline.",no,"""creating a more efficient and profitable airline"" is the goal of the merger, and the sentence presents it as the result of the merger. It is unknown from the document whether this goal has been achieved.",Tense/Modality Error,main
305,U.S. Airways and American Airlines merger,model_C,The merger will give customers better connections and access to nine major hubs.,no,"It's correct that there will be better connections as the result of the merger, but information about ""nine major hubs"" is not presented as a fact in the document, it is just the travel expert's opinion.",Stating Opinion as Fact,main
313,U.S. Airways and American Airlines merger,model_D,"However, experts believe ticket prices will not increase due to weak economy and minimal overlap between the two airlines.",no,"the statements that there is ""minimal overlap between two airlines"" is not entirely accurate. Per source document there is a minimal overlap between the airlines' ""hubs"" and that is what ""gives people a lot of access"" and positively affects ticket pricing.",Mis-Referencing,main
314,U.S. Airways and American Airlines merger,model_E,"U.S. Airways and bankrupt American Airlines have agreed to a merger, creating a more efficient and profitable airline.",no,"""Creating a more efficient and profitable airline"" is the goal of the merger, and the document doesn't say that this goal has been achieved.",Tense/Modality Error,main
317,Coronavirus impact on Black community,Model-Extra,"High death rates, lack of PPE and healthcare, plus police violence show their lives are undervalued.",no,"There is no mention of ""high death rates"" in the source document.",Extrinsic Information,marginal
323,Coronavirus impact on Black community,model_B,African Americans are also at a higher risk of contracting and dying from the virus due to systemic racism and biases in healthcare.,no,"The document provides many issues, like limited access to healthcare, but does not contain the reasons of systemic racism and biases in healthcare specifically.",Extrinsic Information,marginal
325,Coronavirus impact on Black community,model_C,"The death of George Floyd, a black man shot by police in broad daylight, exemplifies the ongoing police violence and vigilante attacks that the Black community faces.",no,There is no mention of George Floyd in the source document.,Extrinsic Information,marginal
339,Disparities in healthcare access and treatment,Model-Extra,"Lack of healthcare, job security, and police violence threaten lives.",no,"The document mentions ""economic security"" but it is not necessarily the same as ""job security.""",Nuanced Meaning Shift,main
350,Disparities in healthcare access and treatment,model_E,"There is a lack of access to basic healthcare facilities and fair policing, which has exacerbated the issues for the black community.",no,"""lack of access to basic healthcare"" and ""fair policing"" are examples of issues that were exacerbated by the pandemic, they are not said to exacerbate other issues faced by the black community.",Reasoning Error,main
352,Police violence and African Americans,model_A,African Americans are disproportionately affected by police violence despite being only 13% of the population.,no,"The text implied that ""African Americans are disproportionately affected by police violence"" but the it does not mention what percentage of the population they make up.",Extrinsic Information,main
353,Police violence and African Americans,model_A,This has led to a heightened awareness of the issue and increased calls for reform.,no,"Although the text mentions 'a heightened awareness', it does not mention increased calls for issue reform but rather criticism of leaders.",Extrinsic Information,main
355,Police violence and African Americans,model_B,"This is a longstanding issue that has been exacerbated by the COVID-19 pandemic, which has resulted in increased scrutiny of police practices and a growing call for reform.",no,The text does not mention a growing call for reform.,Extrinsic Information,main
360,Police violence and African Americans,model_C,"African Americans feel trapped and fear for their lives, as their voices and lives are not valued in the country, perpetuating white supremacist ideology.",no,"It is the opinion of C. Jones, and not a fact, that African Americans ""feel trapped and fear for their lives"" and that ""as their voices and lives are not valued in the country"", which Jones claims is ""perpetuating white supremacist ideology.""",Stating Opinion as Fact,main
362,Police violence and African Americans,model_D,"It highlights the ongoing struggles of the community in the face of the COVID-19 pandemic, and the lack of value placed on their lives by society and government officials.",no,"It is the opinion of C. Jones, and not a fact, that there is ""lack of value placed on their lives by society and government officials.""",Stating Opinion as Fact,main
366,Currency uncertainty,model_A,"Currency uncertainty would arise in the event of a yes vote in the Scottish referendum, with questions about what currency would be used and how long it would take to establish credibility.",no,Concerns about the length of time it would take to establish credibility are not mentioned in the document.,Extrinsic Information,main
369,Currency uncertainty,model_B,"The British government has stated that Scotland would not be allowed to use the pound, while the Scottish government has said that it would be possible for Scotland to join the euro.",no,The Scottish government has not said that it would be possible to join the euro.,Extrinsic Information,main
371,Currency uncertainty,Model-Extra,"If Scotland votes to leave UK, its biggest challenge will be currency.",no,The uncertainty around currency was not referred to as one of the biggest challenges for Scotland if it chose to become independent.,Reasoning Error,main
372,Currency uncertainty,Model-Extra,"Keeping pound risks economic turmoil, adopting euro poses problems for EU, own currency lacks credibility.",no,"It is not as though the Scots currently have their own currency, but that their own currency would lack credibility if it existed.",Reasoning Error,main
376,Currency uncertainty,model_C,"Rogoff believes that a ""yes"" vote would be a short-term negative for Scotland and a mild negative for the UK.",no,He believes that voting for independence will be a 'very very big negative for Scotland.',Nuanced Meaning Shift,main
378,Currency uncertainty,model_D,"The British government and Scottish nationalists have differing views on which currency Scotland would use, with some suggesting Scotland could join the euro, which would create problems for the rest of the eurozone.",no,There is no mention about Scottish nationalists having an opinion about the currency.,Extrinsic Information,main
393,Historic vote on independence,Model-Extra,Queen wants unity but would remain Scotland's monarch.,no,"The assertion that queen ""would remain Scotland's monarch"" is based on the a fact that ""yes campaign they do want to keep her as head of state"", but it is not certain what would happen, so it should not be presented as a definitive outcome.",Reasoning Error,main
397,Historic vote on independence,model_D,Scots to decide on independence from U.K. in historic vote on September 18th.,no,"The date of the vote as ""September 18th"" is not mentioned in the source.",Extrinsic Information,main
400,Historic vote on independence,model_D,Monarchist supporters urge no vote.,no,"The claim is not accurate as per source "" the yes campaign they do want to keep her(queen) as head of state"", so regardless of yes or no vote, they want to keep the queen as a head of the states.",Reasoning Error,main
406,Implications for international relations,Model-Extra,The U.S. and U.K. have a strong alliance; Scotland breaking from the U.K. may weaken this.,no,"The document does not say that Scotland's independence from the U.K. ""may weaken"" the alliance between the U.S. and the U.K. The document says that the potential splitting of the U.K. is a big deal for Americans.",Reasoning Error,main
407,Implications for international relations,Model-Extra,Separatist movements globally may be emboldened.,no,There is no statement in the source document that the separatist movements around the world may be emboldened as the result of Scotland's independence.,Extrinsic Information,main
408,Implications for international relations,Model-Extra,U.S. nuclear weapons in Scotland could be affected.,no,"The document mentions America's nuclear position being in Scotland, which does not necessarily mean that America has its own nuclear weapons there. It could mean the command post, for example, so stating that ""U.S. nuclear weapons in Scotland"" could be affected is incorrect.",Reasoning Error,main
410,Implications for international relations,model_A,"The document discusses the implications of Scotland potentially declaring independence from the United Kingdom, including the impact on the U.S.-U.K. alliance and other separatist movements around the world.",no,"The document does not discuss the impact of Scotland's potential independence on other separatist movements, it only mentions ""other separatist movements"" in Berman's speech without actually discussing them.",Reasoning Error,main
412,Implications for international relations,model_B,The US has expressed concern about the impact of the vote on its nuclear position in northern Europe and on every other separatist movement around the globe.,no,"The source document does not give information about the U.S. expressing concerns, the concerns are expressed by Berman and Romans.",Mis-Referencing,main
414,Implications for international relations,model_C,"The referendum in Scotland could have significant implications for international relations, as it could inspire other separatist movements around the world.",no,"There is no information in the document that Scotland's potential independence could ""inspire"" other separatist movements around the world.",Reasoning Error,main
415,Implications for international relations,model_C,"Additionally, the breakup of the U.K. could lead to changes in the balance of power in Europe and the global stage.",no,"The document mentions American's nuclear position in Scotland and implies that Scotland's independence would affect it, but no statement is given about changes in balance of power globally or in Europe.",Reasoning Error,main
421,Iraq's preparations for a potential US assault,model_A,"In the document, Richard Butler, a former U.N. weapons inspector in Iraq, stated that he believes Iraq is anticipating and preparing for a U.S. assault.",no,"The text mentions that Iraq is anticipating and preparing for a U.S. assault, but it was Tariq Aziz that made that statement rathet than Richard Butler.",Mis-Referencing,main
424,Iraq's preparations for a potential US assault,Model-Extra,Iraq claims to have no WMDs but refuses inspections.,no,"The text mentions that Iraq claims to have no WMDs, but it does not state that Iraq refuses inspections, but that ""they will seek to prevent the inspections from being effective.""",Nuanced Meaning Shift,main
425,Iraq's preparations for a potential US assault,Model-Extra,They now seek talks to avoid US action.,no,"It is Kahn's suggestion, and not a fact, that Iraq is seeking talks to avoid US military action.",Stating Opinion as Fact,main
427,Iraq's preparations for a potential US assault,Model-Extra,"Iraq likely seeks to stall for time but won't permit real inspections, as they wish to keep WMDs.",no,"It is Butler's opinion, and not a fact, that Iraq is stalling but won't permit real inspections, as they wish to keep WMDs",Stating Opinion as Fact,main
430,Iraq's preparations for a potential US assault,model_B,Foreign minister Javad Zarif is meeting with UN officials in New York for the first time in over a year.,no,"The text mentions that Iraq's deputy foreign minister, Tariq Aziz, who is meeting with UN officials in New York for the first time in over a year and not Javad Zarif.",Mis-Referencing,main
