,topic,model_name,summ_sent,sent_label,exp,type,category
162,Sale of Bonds,model_E,"The sale of the bonds was approved at a special FCIC meeting, and will be discussed again at the regular city council meeting on October 3rd.",no,"The document doesn't specify if the future meeting where the sale of bonds (referred to as the ""certificates"") will again be discussed is a regular city council meeting.",Extrinsic Information,main
163,Wells Fargo Investment,Model-Extra,The city council voted to divest from Wells Fargo investments.,no,The document does not say that the city council voted to divest from Wells Fargo investments. It is reported by Speaker 2 that they sold positions they had in Wells Fargo.,Extrinsic Information,main
165,Wells Fargo Investment,Model-Extra,The funds were reinvested in comparable bonds.,no,"Speaker 1 is asking whether Speaker 2 is able to find comparable investments to benefit the city, but the document does not state that the funds were already reinvested.",Extrinsic Information,main
167,Wells Fargo Investment,model_A,"The city of San Francisco's treasurer, Kevin Kennedy, reported that the portfolio does not hold any Wells Fargo securities following the direction received from counsel to divest from the investments.",no,"This sentence introduces a new entity, San Francisco. There is no mention of it in the source document.",Extrinsic Information,main
169,Wells Fargo Investment,model_A,"The city is now on a no-buy list for Wells Fargo until further indication, and the managers are aware of this.",no,"The document says that Wells Fargo is on the ""no-buy list"" for the city.",Mis-Referencing,main
171,Wells Fargo Investment,model_B,"The sale resulted in a small gain, with a net loss of about $2,000, or less than 0.1% of the portfolio's value.",no,"The calculation of the percent does not seem right. 2,000/1,500,000 is 0.13%, which is greater than 0.1%",Reasoning Error,main
175,Wells Fargo Investment,model_C,"The sale resulted in a small loss of approximately $2,000, but the funds have been reinvested in comparable investments.",no,There is no information that the funds have been reinvested. Speaker 0 only asks whether Speak 2 is able to find comparable investments.,Extrinsic Information,main
180,Gun control measures,model_A,"Resolution supporting Washington Initiative Measure 1433, which would expand background checks for gun sales and transfers, and urges Seattle voters to vote yes on Initiative 1433 on the November 8, 2016 general election ballot.",no,"The resolution supports Washington Initiative Measure 1491, and does not expand background checks.",Nuanced Meaning Shift,main
187,Gun control measures,model_C,"The document discusses two gun control measures, Washington Initiative Measure 1491 and 1433, and urges Seattle voters to vote in favor of both measures in the upcoming election.",no,The document mentions but does not discuss initiative 1433 nor what it contains (don't know if 1433 is a gun control measure),Extrinsic Information,main
190,Gun control measures,model_D,"Resolution 31703 supports Initiative 1433, which would raise the minimum wage in Washington state and provide paid sick leave for employees.",no,The document does not discuss the content of Initiative 1433,Extrinsic Information,main
191,Gun control measures,model_E,"This document is a council resolution supporting Washington Initiative Measure 1433, which aims to expand background checks for firearm purchases.",no,"This document is not the resolution itself, and the resolution supports Washington Initiative Measure 1491, which does not expand background checks.","Nuanced Meaning Shift, Extrinsic Information",main
193,Gun control measures,model_E,The measure also includes provisions for safe storage of firearms and a ban on bump stocks.,no,The resolution does not include this.,Extrinsic Information,main
194,Mental health and firearms,model_A,"Council Bill 31703 supports Washington Initiative Measure 1433, which aims to keep firearms out of the hands of people who are a danger to themselves or others due to mental illness or a high risk of violent behavior.",no,The text mentions Resolution 31702 supports Washington Initiative Measure 1491 aims to keep firearms out of the hands of people who are a danger to themselves or others due to mental illness or a high risk of violent behavior.,Extrinsic Information,main
196,Mental health and firearms,model_B,"Supporting Washington Initiative Measure 1433 to require background checks for all firearm sales and transfers, including private sales and gifts, and to prohibit the possession of firearms by individuals who have been involuntarily committed to a mental health facility.",no,"The text only briefly mentions Washing ton Initiative Measure 1433, but it does not elaborate on what the measure involves, such as background checks and the inability to possess firearms by individuals who have been involuntarily committed to a mental health facility.",Extrinsic Information,main
197,Mental health and firearms,model_C,"The document discusses Resolution 31702, which supports Washington Initiative Measure 1491, and urges Seattle voters to vote yes on Initiative 1481.",no,"It's initiative 1491, not 1481.",Nuanced Meaning Shift,main
201,Mental health and firearms,model_E,The document discusses two resolutions related to gun safety and mental health.,no,it is unknown whether or not Resolution 31703 is a gun control and mental health measure.,Extrinsic Information,main
203,Mental health and firearms,model_E,"Resolution 31703 supports Initiative 1433, which would establish safe gun storage requirements and create a new framework for addressing firearm suicide.",no,"The text mentions that Resolution 31703 supports Initiative 1433, but it does not elaborate what that initiative supports, such as establishing safe gun storage requirements and creating a framework for addressing firearm suicide.",Extrinsic Information,main
210,Washington state initiatives,model_A,"The initiative would increase the minimum wage to $13.50 per hour for small businesses with fewer than 100 employees by 2021, and $15 per hour for larger businesses by 2026.",no,"The text briefly mentions the Initiative Measure 1433, but it does not mention the details of the initiative, such as supporting an a minimum wage increase.",Extrinsic Information,main
211,Washington state initiatives,Model-Extra,"The Seattle City Council passed resolutions supporting two Washington state ballot initiatives: Initiative 1491, which would allow courts to suspend access to firearms for people threatening harm, and Initiative 1433, which would increase the statewide minimum wage and require employers to provide paid sick leave.",no,"The text mentions both Washington state ballot initiatives, 1491 and 1433, but it only provides details about what Initiative 1491 supports, and there is not information about what Initiative 1433 supports.",Extrinsic Information,main
212,Washington state initiatives,model_B,"The document discusses two Washington state initiatives, 1491 and 1433, which aim to address gun violence and raise the minimum wage, respectively.",no,"The text mentions both Washington state Initiatives 1491 and 1433, but there is no mention of what initiative 1433 aims to do.",Extrinsic Information,main
215,Washington state initiatives,model_C,"Initiative 1491 aims to suspend a person's access to firearms if there is evidence of dangerous mental illness or violent behavior, while Initiative 1433 supports raising the minimum wage and providing paid sick leave.",no,"The text provides details about what Initiative 1491 aims to do, but there is no information about what Initiative 1433 supports.",Extrinsic Information,main
218,Washington state initiatives,model_D,"The second initiative, Measure 1433, aims to increase the minimum wage and provide paid sick leave for certain workers in Seattle.",no,"The text does not provide details about what Measure 1433 aims to do, such as increasing the minimum wage and providing paid sick leave for certain workers in Seattle.",Extrinsic Information,main
220,Washington state initiatives,model_E,"This document discusses two Washington state initiatives: 1491, which aims to suspend access to firearms for individuals with documented evidence of dangerous mental illness or high risk of violent behavior, and 1433, which aims to increase the minimum wage and require paid sick leave for employees.",no,"The text is primarily about the 1491 initiative and its details, but only briefly mentions Initiative 1433 and does not provide any details about what it aims to do.",Extrinsic Information,main
222,Washington state initiatives,model_E,The council ultimately adopts a resolution supporting both initiatives.,no,"The text indicates that the council only adopts the resolution of Initiative 1491, but not Initiative 1433 as it is only briefly mentioned.",Extrinsic Information,main
227,Block Vote Results,model_A,The block vote results were adopted with 12 abstentions.,no,"The claim about voting results being ""12 abstentions"" is not accurate, per source the first bill was voted ""12 eyes, 1 abstention"", and the second one ""13 eyes""",Mis-Referencing,main
228,Block Vote Results,model_A,Four bills for introduction were placed on final consideration and passed with 13 eyes.,no,"From the context of the source document it is not clear that there were ""Four bills"", as the voting took place on two block off series.",Mis-Referencing,main
233,Block Vote Results,model_C,The resolutions and bills on final consideration passed with 13 votes in favor and no abstentions.,no,"Per source, ""block off series of 2016 601607 372 591 598 604 611 593 595 596"" was voted as ""12 one abstentions"", and the ""series 2016 553 564 515 589"" was voted as ""13 eyes"". So the claim in the sentence that all resolutions (without making a distinction) and bills passed with ""13 votes in favor and no abstentions"" is not entirely accurate.",Mis-Referencing,main
235,Block Vote Results,model_D,"The council held a block vote on resolutions and bills, with 12 council members voting in favor, one abstention, and one council member hanging fire.",no,"There were two resolutions voted on and the results differed slightly, so combining the two inaccurately describes the results. Per source, ""block off series of 2016 601607 372 591 598 604 611 593 595 596"" was voted as ""12 one abstentions"", and the ""series 2016 553 564 515 589"" was voted as ""13 eyes"".",Mis-Referencing,main
236,Block Vote Results,model_D,The resolutions and bills passed with a final vote of 13-1.,no,"The claim that final vote was ""13-1"" is not accurate, as per source it was ""13 eyes"".",Mis-Referencing,main
245,Council Vote Results,model_B,"Five bills were adopted in a block vote, and three bills for introduction were placed upon final consideration and passed.",no,"From the context of the source document it is not clear that ""Five bills"" were adopted and ""three bills"" were placed upon final consideration. The source only discusses ""block off series of 2016 601607 372 591 598 604 611 593 595 596."" and ""series 2016 553 564 515 589""",Mis-Referencing,main
247,Council Vote Results,model_C,"In the Council vote results, the resolutions were adopted and the bills on final consideration passed, including Council Bill 42 changing the zoning classification for 45 North Harrison Street.",no,"""Council Bill 42 changing the zoning classification for 45 North Harrison Street."" was not voted on, it was announced that a ""public hearing on Council Bill 42"" will be held later that day.",Tense/Modality Error,main
248,Council Vote Results,model_C,"There were 13 yes votes, 0 no votes, and 1 abstention.",no,"The sentence combines data in a way that makes it factually inconsistent. There were total of 13 voters (not 14 as the sentence suggests by stating that there were 13 yes and 1 abstention), so for the resolutions voting was split ""12-1"" with one abstention, and on final consideration of bills, voting was ""13-0"".",Mis-Referencing,main
249,Council Vote Results,model_D,"The Denver City Council voted 13-0 to approve a series of resolutions and bills on final consideration, including referral of a question about the Denver preschool program to the ballot.",no,"The vote on resolutions was ""12-1 with one abstention"", not ""13-0"". ""13 yes"" was the vote on final consideration of bills.",Mis-Referencing,main
257,Zoning Classification Change,Model-Extra,The city council voted to approve changing the zoning classification for 45 North Harrison Street.,no,The vote has not yet taken place.,Tense/Modality Error,marginal
258,Zoning Classification Change,Model-Extra,The council referred a ballot measure to voters to approve using excess tax revenue for the Denver Preschool Program.,no,No mention of excess tax revenue.,Extrinsic Information,marginal
259,Zoning Classification Change,Model-Extra,"They then approved several resolutions and bills, including Council Bill 42 regarding the zoning change.",no,Council Bill 42 is not yet approved.,Contradiction,marginal
261,Zoning Classification Change,model_B,The bill has been passed by the city council.,no,Had not yet been passed.,Tense/Modality Error,marginal
275,Incident on Blue Line train,model_C,"Councilmember Larry Glass stated that the incident on the Blue Line train on August 20, 2021, was one of the worst experiences he has seen, and it highlights the need for addressing the situation and taking the police that we are assigned to the police to through line, which we don't have.",no,"The document does not specify the speaker's last name, nor the date on which the incident occurred.",Extrinsic Information,main
279,Incident on Blue Line train,model_E,The train was delayed for six and a half minutes and no police were present to address the situation.,no,"that time span is mentioned, but not relatedly to the delay",Reasoning Error,main
283,Low police numbers,model_A,"During the meeting, a speaker talked about the low police numbers and the need for adequate policing in the Long Beach area.",no,The text mentions that the speaker talked about the low police numbers and the need for adequate policing of the transit system and not just of the Long Beach area.,Nuanced Meaning Shift,main
284,Low police numbers,model_A,The speaker recounted a recent incident where they were verbally and physically attacked on a train and the driver refused to call the police.,no,"1. The attack was verbal but not physical.
2. The text does not make it clear that it was the speaker who was verbally and physically attacked on the train, or if they witnessed that happening to someone else on the train.",Nuanced Meaning Shift,main
286,Low police numbers,model_A,The council members voted to approve the report from the police department and a parking and business improvement area annual report.,no,"The text mentions that council members voted to approve a parking and business improvement measure and continued assessment of an area annual report; however, there is no vote to approve the report from the police department as someone has to excuse themselves from the vote due to a conflict of interest.",Reasoning Error,main
287,Low police numbers,model_B,Speaker 4 mentioned that the police numbers are down to an all-time low and it may take 3-4 years to get back up to the previous level.,no,"It was Speaker 1, and not Speaker 4, who mentioned that the police numbers are down to an all-time low and it may take 3-4 years to get back up to the previous level.",Mis-Referencing,main
288,Low police numbers,model_B,There was a recent incident on the Blue Line where there was a violent attack and no police were present.,no,"The text mentions that the recent incident on the Blue Line was involved threatening language, but physical ""violent attack"" is misleading.",Nuanced Meaning Shift,main
291,Low police numbers,model_C,"They suggested that transit policing should be handled by a specialized trained force, rather than the current police department.",no,"The suggestion was not to have a specialized force rather than the police, but to include the specialized task force under the sheriff",Mis-Referencing,main
292,Low police numbers,model_C,"The council voted to approve a police agreement with the Long Beach Community College District, but the speaker requested reconsideration of the item.",no,"The speaker asks to reconsider item 11, and the aspect related item is introduced as item 12",Mis-Referencing,main
298,Police security services agreement,model_A,"Estimated cost: $3,000,102.52.",no,"It is $3,000,102, not $3,000,102.52.",Nuanced Meaning Shift,marginal
299,Police security services agreement,model_B,"The City Council approved a recommendation to execute an agreement with the Long Beach Community College District to provide law enforcement security services, with an estimated amount of $3,000,102.52, for districts five and six.",no,"It is $3,000,102, not $3,000,102.52.",Nuanced Meaning Shift,marginal
301,Police security services agreement,Model-Extra,"Despite police staffing shortages, the agreement will fund transit police for 3-4 years.",no,"The document does not discuss that the agreement will fund the transit police for 3-4 years. It says that ""the numbers of the police are down"" at an all-time low and it will take the police 3 to 4 years to solve it.",Reasoning Error,marginal
303,Police security services agreement,model_C,"The Long Beach City Council approved a police security services agreement with the Long Beach Community College District for an estimated amount of $3,000,102.52.",no,"It is $3,000,102, not $3,000,102.52.",Nuanced Meaning Shift,marginal
306,Police security services agreement,model_D,The agreement is worth an estimated $3 million over a period of five years.,no,There is no mention in the document that the period of the agreement is five years.,Extrinsic Information,marginal
308,Police security services agreement,model_D,"However, a councilmember has moved to reconsider the item, which has been approved unanimously.",no,"This is misleading. The reconsideration was for item number 11, while the security services was item number 12.",Mis-Referencing,marginal
310,Police security services agreement,model_E,"The estimated amount for the agreement is $3,000,102.526.",no,"It is $3,000,102, not $3,000,102.526.",Nuanced Meaning Shift,marginal
315,Funding for housing and community development programs,model_B,Agenda Item two is related to the funding for housing and community development programs.,no,"Agenda item one is related, not agenda item two",Mis-Referencing,main
361,Federal Grants Acceptance,model_B,"This document outlines the acceptance of federal grants by the city of Seattle, including specific grants such as the Urban Area Security Initiative, the Emergency Management Performance Grants, and the State Homeland Security Program.",no,"1. It is not entirely sure that they refer to Seattle.
2. Those grants are not mentioned in the document.","Reasoning Error, Extrinsic Information",main
382,Homeland Security Grants,model_B,"This document discusses the acceptance of funding from non-city sources, specifically Homeland Security grants.",no,"It is incorrect to say that Homeland Security grants are discussed ""specifically"" as funding from non-city sources. Homeland Security grants are mentioned in the context of additional questions about the grants, but no details are discussed.",Extrinsic Information,marginal
388,Homeland Security Grants,Model-Extra,"The committee approved accepting federal grants, including Homeland Security funds.",no,"It is unclear which exactly grants are approved. Homeland Security funds are mentioned only in the context of additional questions about grants, but they are not said to be actually included in the ""approved"" list.",Reasoning Error,marginal
396,Homeland Security Grants,model_D,The council will vote on the bill.,no,"The future tense ""will vote"" is incorrect because the council votes during the meeting which is discussed in the document.",Tense/Modality Error,marginal
401,Importance of Oversight,model_B,The Council President thanks director Noble for his efforts and the Chair of the Committee on Public Safety and the Committee on Equity and Social Justice will continue to engage in oversight work.,no,"The document does not mention any committees on either Public Safety or Equity and Social Justice, so this expression of gratitude did not occur.",Extrinsic Information,main
414,Property Transfer,model_A,"The Delridge Neighborhoods Development Association successfully raised funds to purchase the property, and the transfer was made at fair market value.",no,"""transfer was made"" is not correct as the discussed bill is about transferring the property, so it has not happened yet.",Tense/Modality Error,main
417,Property Transfer,model_B,The transfer is due to a change in state law that requires the property to be sold at fair market value.,no,"1. The claim that ""transfer is due to a change in state law"" is not accurate, as per source ""the property had to be sold at fair market value"" under the state law, and there is no change to the state law.
2. Further, this is not the reason for transfer.","Tense/Modality Error, Reasoning Error",main
420,Property Transfer,model_C,"The summary of the report is that the Civil Rights, Utilities, Economic Development and Energy Committee recommends that Council Bill 118903, which transfers property from Seattle City Light to the Parks Department, be passed.",no,"Council Bill 118903 is not about property from Seattle City Light to the Parks Department, per source it is "" item ten Constable 1189 12""",Mis-Referencing,main
434,Satellite Department,Model-Extra,The transfer corrects an error that had the property under the City Light Department.,no,"It's not certain in the given context if it was an error that put the property in ownership of the City Light department, it is noted that there was only a technical error in an adjusted section of the SPU code",Reasoning Error,marginal
440,Satellite Department,model_B,The bill passes with nine votes in favor and one abstention.,no,The document does not mention that there is one abstention.,Extrinsic Information,marginal
443,Satellite Department,model_D,The document discusses a council bill to transfer jurisdiction of the former Dulwich substation from the City Light Department to the Department of Parks and Recreation for open space park and immigration purposes.,no,"""for Open Space Park and Immigration Purposes Committee"" it is not acceptable to infer that this means it is inherently for the purposes of open space part and for immigration",Reasoning Error,marginal
468,Council Bill 11 9288,model_C,"Council Bill 11 9288, which proposes a hate crimes law, is being held for further consideration at the next City Council meeting on November 25th.",no,The document doesn't specify that the November 25th meeting is the next time that the City Council meets.,Extrinsic Information,main
469,Council Bill 11 9288,model_C,A councilmember has also requested parental leave through December 16th.,no,"The councilmember requesting leave (Speaker 7) requested it through January 27th. Another councilmember (Speaker 0) brought up that they are unsure if can legislate this ""till [sic] next year"" (by ""till,"" I think they mean the contraction ""'til"" and that they actually mean that they can't legislate this past the current year/session of the council). The December 16th date refers to when the last summer session meets.",Reasoning Error,main
477,Council Bill 11 9288,model_E,"Councilmember Mosquito moved to hold the bill and is taking parental leave until January 27th, 2020.",no,Councilmember Mosquito isn't specified as the member who moved to hold the bill. It was Herbold.,Mis-Referencing,main
480,Parenting Leave,Model-Extra,"Mosquito thanked her colleagues, wished them luck, and said she may call in for budget votes.",no,"It wasn't Mosquito who said she would call for budget votes, but Speaker 1 asked her to call ""call me back when the baby's asleep so we can talk about where we're going with this budget.""",Mis-Referencing,main
488,Parenting Leave,model_D,"Councilmember Mosquito has requested parenting leave through December 16th, 2019, and will be excused from council meetings until that date.",no,"Per source, Councilmember Mosquito requested parental leave from ""I would like to move to be excused beginning next Monday, October 14th through January 27th of 2020 for parental leave"", so the claim in the sentence ""through December 16th, 2019"" is not accurate.",Extrinsic Information,main
490,Parenting Leave,model_E,"Councilmember Mosquito requests parental leave from November 14th until January 27th, 2020.",no,"Per source document the requested time frame for leave is ""October 14th through January 27th of 2020"", not ""November 14th""",Mis-Referencing,main
491,Parenting Leave,model_E,"The council approves the leave with a resolution until December 16th, 2019.",no,"The council does not approve to leave with a ""resolution"". The leaving is councilmember Mosquito's announcement.",Contradiction,main
495,Council Rules Amendment,model_B,The amendment was made to accommodate those who have COVID-19 positive results.,no,COVID-19 is not mentioned in the document.,Extrinsic Information,marginal
497,Council Rules Amendment,model_C,The council discussed and passed a resolution to amend the council rules to allow for electronic signatures.,no,The document does not mention 'electronic signatures'.,Extrinsic Information,marginal
517,Ernestine Anderson Way Honorary Designation,model_D,Ernestine Anderson was a jazz and blues singer from Seattle who passed away in 2019.,no,The year is not mentioned in the document.,Extrinsic Information,main
557,Garfield High School Alumni,model_D,The bill is supported by council members Rodney and O'Brien.,no,"Rodney and O'Brien are the first and last name of the same person. Speaker 0 introduces ""the council member o'brien"" and after O'Brien finishes, Speaker 0 replies ""thank you, Councilmember Rodney."" Though the latter is informal, there's no other speaker Rodney seems to be referring to since O'Brien spoke without interruption.",Nuanced Meaning Shift,marginal
559,Garfield High School Alumni,model_E,"It also acknowledges the contributions of other Garfield High School alumni, including Quincy Jones, who attended the school with Anderson's parents.",no,"Quincy Jones attended Garfield High School with Ernestine Anderson herself, not her parent.",Mis-Referencing,marginal
562,Marijuana Business License Tax,model_B,"The document concerns a proposal to impose a tax on medical marijuana businesses in the city of Des Moines, with the revenue to be used for public safety, public health, homelessness, and general services related to regulation and enforcement.",no,City of Des Moines is not mentioned in the document.,Extrinsic Information,main
563,Marijuana Business License Tax,model_B,"The tax rate would be $25 per square foot of canopy for medical marijuana businesses, with a cap of $5,000 per year for each business.",no,The sentence is completely hallucination.,Extrinsic Information,main
605,Prioritizing Spending of Revenue,model_D,The council also aims to address any potential lawsuits that may arise.,no,The source article does not mention that the council also aims to address any potential lawsuits that may arise.,Extrinsic Information,main
628,Red light cameras,model_E,Bill 328 proposes to authorize the use of red light cameras at intersections throughout the city.,no,"According to the context of the document, Bill 328 is the next agenda item and thus is irrelevant to the red light camera discussion as the speakers have moved on",Reasoning Error,main
629,Red light cameras,model_E,The bill also includes provisions for the renewal of the city's photo radar speeding van program.,no,Bill 328 is irrelevant as it was not discussed in the meeting,Extrinsic Information,main
631,Photo radar speeding vans,model_A,"Council Resolution 22, adopted by the City Council, allows for the renewal of the photo radar speeding van program, which has been in place since 2008.",no,"The text mentions that it is resolution 159, and not Council Resolution 22, that allows for the renewal of the photo radar speeding van program.",Mis-Referencing,main
643,Photo radar speeding vans,model_D,"The contracts are set to expire on June 30, 2021, and the bill includes language to remove the cameras from the current locations and move them to other parts of the city.",no,"The text mentions that the bill include language to remove the cameras from the current locations and more them to other parts of the city, but it does not mention when the contracts are set to expire.",Extrinsic Information,main
658,Engineering deficiencies,model_B,"They also mention that the agencies have not fixed engineering deficiencies in the last 11 years, and that three of the four red light camera locations primarily impact commuters from the West Side, including their district.",no,"There is no indication in the document that it has been 11 years since 2008, only that the traffic cameras were installed in 2008.",Extrinsic Information,main
659,Engineering deficiencies,model_C,Bill 328 amends the traffic code to allow the use of red light cameras at intersections with engineering deficiencies.,no,"According to the context of the document, Bill 328 is the next agenda item and thus is irrelevant to the red light camera discussion.",Reasoning Error,main
660,Engineering deficiencies,model_C,The bill includes a provision for the removal of cameras from locations where the engineering deficiencies have been addressed.,no,"1. Bill 328 is irrelevant as it was not discussed in the meeting.
2. Per source document, ""new contract will allow us to remove the cameras from those locations and move them around."" The document does not suggest that engineering deficiencies are addressed at any location.",Extrinsic Information,main
678,Street vacation,model_C,The document is a report from Public Works recommending the vacation of streets and alleys within the Seaport Village Complex.,no,"The document indicates that the text is not a report from Public Works, but mentions Public Works and their recommendation to vacate the streets and alleys within the Seaport Village Complex.",Contradiction,marginal
